,ID,건물명,주소,판매 유형,건물 유형,보증금,월 납입 비용,관리비,면적(단위:평),주변 지하철역,준공일자,판매등록일자,구,동
16298,40063146,충무로역스위트엠,중구 묵정동 32-5,월세,오피스텔,170.0,110.0,10,5.6,"['충무로역', '을지로4가역', '동대입구역']",20210324,2024-07-29,중구,묵정동
5754,40021452,브릴란테남산,중구 필동1가 3-5,월세,오피스텔,3000.0,220.0,20,10.0,"['충무로역', '을지로3가역', '명동역']",20230717,2024-03-21,중구,필동1가
5740,40021389,브릴란테남산,중구 필동1가 3-5,월세,오피스텔,3000.0,200.0,20,10.0,"['충무로역', '을지로3가역', '명동역']",20230717,2024-03-13,중구,필동1가
5709,40021302,힐스테이트남산,중구 묵정동 1-23,전세,오피스텔,50000.0,0.0,0,13.5,"['충무로역', '동대입구역', '을지로4가역']",20240131,2024-07-17,중구,묵정동
7098,40026763,미등록 건물명,중구 운서동 2907-15,월세,빌라,500.0,75.0,5,15.0,없음,2012.11.5,2024-03-09,중구,
7112,40026803,쌍용더플래티넘서울역,중구 중림동 363,월세,오피스텔,1000.0,95.0,8,5.3,"['충정로역', '서울역', '서대문역']",20230712,2024-03-04,중구,중림동
16408,40063526,미등록 건물명,중구 대흥동 505-14,월세,원룸,500.0,50.0,2,12.0,"['중구청역', '중앙로역', '서대전네거리역']",2015-12-1,2024-07-29,중구,대흥동
5617,40020970,미등록 건물명,중구 운서동 2910-8,월세,빌라,500.0,65.0,15,15.0,없음,20110803,2024-03-09,중구,
7116,40026811,프라임시티1차,중구 운서동 3093-1,월세,오피스텔,500.0,50.0,7,6.2,['운서역'],20190402,2024-03-04,중구,
16441,40063644,미등록 건물명,중구 유천동 135-1,월세,원룸,3000.0,40.0,2,15.0,"['서대전네거리역', '오룡역']",20170828,2024-06-14,중구,
16464,40063713,미등록 건물명,중구 대흥동 508-36,월세,원룸,1000.0,55.0,2,12.1,"['중구청역', '중앙로역', '서대전네거리역']",2022-4-22,2024-08-21,중구,대흥동
14285,40055333,그랑블루인영종,중구 중산동 1886-17,월세,오피스텔,300.0,50.0,10,7.8,없음,20220225,2024-03-23,중구,
14277,40055302,영종하늘도시트루엘에디션,중구 중산동 1886-19,전세,오피스텔,8500.0,0.0,8,6.5,없음,20200514,2024-03-21,중구,
5566,40020781,미등록 건물명,중구 운남동 1541-9,월세,원룸,200.0,28.0,7,7.0,없음,20170728,2024-07-15,중구,
14276,40055300,미등록 건물명,중구 운남동 1507-6,월세,원룸,300.0,43.0,7,10.0,없음,2017년 4월 17일,2024-03-10,중구,
16498,40063827,중앙역퀸즈w테라스에디션,중구 대창동1가 47,월세,오피스텔,500.0,60.0,8,8.5,"['중앙역', '부산역', '남포역']",2019.10.01,2024-08-17,중구,
16500,40063837,미등록 건물명,중구 운남동 1535-5,월세,원룸,150.0,28.0,7,7.0,없음,2016-12-09,2024-03-17,중구,
16520,40063933,미등록 건물명,중구 운서동 2891-9,월세,원룸,300.0,29.0,7,6.0,없음,20141117,2024-03-07,중구,
5528,40020631,스카이캐슬,중구 운서동 3096-1,전세,오피스텔,11025.0,0.0,7,7.0,['운서역'],20210219,2024-03-06,중구,
5465,40020343,미등록 건물명,중구 운서동 2936-11,월세,원룸,300.0,28.0,7,8.0,['운서역'],2015-04-13,2024-03-21,중구,
16631,40064331,미등록 건물명,중구 성안동 515-7,월세,원룸,500.0,40.0,8,15.0,없음,20171115,2024-03-09,중구,
12471,40048729,스마트284,중구 선화동 284-4,월세,오피스텔,200.0,30.0,5.5,5.5,"['중앙로역', '중구청역', '서대전네거리역']",20130621,2024-07-01,중구,
12466,40048711,미등록 건물명,중구 황학동 1550,월세,빌라,1000.0,75.0,7,9.0,"['신당역', '동묘앞역', '신설동역']",2015-11-23 ,2024-03-19,중구,황학동
1,40000003,브릴란테덕수궁,중구 북창동 111-1,전세,오피스텔,48000.0,0.0,0,10.0,"['회현역', '시청역', '을지로입구역']",미등기 4월등기예정 신축 ,2024-03-29,중구,북창동
